"geogid","geog","lat","lon"
"55010047","Zelcut (St. Geroges Caye)","17 27.714","-88 02.060"
"55010048","Great (St. Georges Caye)","17 28.535","-88 02.213"
"55010049","Lobcob (St. Georges Caye)","17 32.817","-88 02.691"
"55010050","The Mast Site (St. Georges Caye)","17 29.465","-88 02.452"
"55010051","Blair (St. Georges Caye)","17 30.318","-88 02.681"
"55010052","Gorgeous George","17 28.535","-88 02.213"
"55010053","Zewall (Sea Wall)","17 27.813","-88 02.050"
"55010054","Jo Jo's Split (Turneffe Reef)","17 15.20","-87 15.13"
"55030050","The 700 (about 5 mi. NE of the main Turneffe Islan",NULL,NULL
"57020108","El Aquario (Aquarium)","16 17.468","-86 36.096"
"57020109","The Bite / The Bight","16 18.175","-86 35.835"
"57020110","Wayne's Reef (Anthony's Key Resort dive operation)","16 20.352","-86 33.882"
"57020111","South of Aguila Wreck","16 17.816","-86 36.147"
"57030094","Chepe's Beach (Sandy Bay area W end Utila Village)",NULL,NULL
"63020044","Roosevelt Roads EFH 1","18 13.710","-65 35.330"
"63020045","Roosevelt Roads EFH 2","18 13.260","-65 38.080"
"63020046","Roosevelt Roads EFH 3","18 12.660","-65 35.930"
"63020047","Roosevelt Roads EFH 4","18 12.650","-65 36.650"
"63020048","Roosevelt Roads EFH 5","18 12.140","-65 37.670"
"63020049","Bajo de Cico","18 13.27","-67 25.10"
"63040035","Yellow Reef",NULL,NULL
"63060013","Captains Point","18 06.442","-67 56.163"
"63060014","Caigo no Caigo (off Mona Island)","18 02.60","-67 53.50"
"63060015","Coco (Off Mona Island)","18 03.06","-67 53.08"
"64010056","Slippery Fingers",NULL,NULL
"64010057","Superbowl",NULL,NULL
"64010058","Kings Cross Alley (West End Fredericksted)","17 41.812","-64 53.715"
"64020120","Rock Pile","18 20.026","-65 04.691"
"64020121","The Castle or Castle Rock","18 17.834","-64 53.328"
"65010059","Great Camanoe Catacombs in Lee Bay, Salt Island)",NULL,NULL
"71060031","Dewer's Vent","17 17.044","-62 44.874"
"73010001","Tombant de Pointe de Mare",NULL,NULL
"73010002","Canyon Babody",NULL,NULL
"73010003","Trou Bleu",NULL,NULL
"73010004","Cayr Marshall",NULL,NULL
"73010005","Le Citadel",NULL,NULL
"73010006","Le Jardin de Precheur",NULL,NULL
"73010007","Le Resinier (L'Amelie)",NULL,NULL
"73010008","Le Roche de Perle / The Pearl",NULL,NULL
"73010009","Le Roche de Sous-Marin / Submarine",NULL,NULL
"73010010","Le Diamant / The Diamond","14 27.15","-61 04.44"
"73010011","Le Dalhia",NULL,NULL
"73010012","Le Resinier (L'Amelie)",NULL,NULL
"73010013","Trou Bleu #2",NULL,NULL
"73010014","La Charmeuse",NULL,NULL
"73010015","Carbet Beach",NULL,NULL
"73010016","La Gabrielle (Le Biscaye)",NULL,NULL
"73010017","Cap Enrage",NULL,NULL
"73010018","Le Pothuau",NULL,NULL
"73030061","Blenny Reef",NULL,NULL
"73041001","Bathsheba (East-Windward side, surfer site)",NULL,NULL
"73050038","Brown's Bay",NULL,NULL
"73050039","Almond Point",NULL,NULL
"84020027","Outside Carenero Anchorage, Cayo Remanso, Los Roqu","11 52.930","-66 50.657"
"84020028","Outside West Cay","11 49.287","-66 56.846"
"84020029","Inside West Cay","11 49.536","-66 56.870"
"84070007","Cayo Herradura (NW of Isla la Tortuga)","10 59.293","-65 22.583"
"84150003","Isla Larga (near Puerto Cabello)","10 29.182","-67 56.786"
"84150004","Carenero","10 32.188","-66 06.961"
"85020069","Pierbaai (next reef NE of Car Pile)",NULL,NULL
"85030145","Peter's Head (East Coast, 1 km NW of Boca Onima)",NULL,NULL
"85030146","My Place","12 04.381","-68 16.799"
"85030147","Playa Lechi aka Playa Pabou","12 09.693","-68 17.007"
"85030148","North Windsock / Te Amo Beach","12 08.071","-68 16.799"
"85030149","Red Beryl North","12 02.948","-68 16.764"
"85030150","Esmeralda (Swimming Hole)","12 06.605","-68 17.559"
"85030151","Fish Hut South","12 02.521","-68 15.944"
"85030152","English Garden","12 03.562","-68 16.893"
"85030153","Candy Land","12 13.363","-68 24.072"
"85030154","Boca Onima (East Coast)",NULL,NULL
"86020052","Mount Irvine Extension Reef","11 11.922","-60 48.152"
"86020053","Quarry (offshore, S of East Sisters)",NULL,NULL
"86020054","Black Forrest",NULL,NULL
"86020055","Back Garden (SW Goat Island)","11 17.269","-60 31.385"
"86020056","Innerspace (SW L. Tobago)","11 17.780","-60 30.506"
"21010248","Warsaw Hole","30 03.660","-85 48.440"
"21010247","Bridge Span 5 (Old Hathaway Bridge rubble)","30 09.847 ","-85 53.813"
"55010067","The Split (Cay Caulker)","17 45.067","-88 01.500"
"82030002","Tiger Rock, Flat Rock","09 13.265","-81 56.830"
"33010438","MDC RVC 337 ","25 47.106","-80 05.957"
"33010437","MDC RVC 336 ","25 47.201","-80 06.309"
"33010436","MDC RVC 333 ","25 47.876","-80 05.176"
"33010435","MDC RVC 332 ","25 47.858","-80 05.914"
"33010434","MDC RVC 331 ","25 47.859","-80 06.510"
"33010433","MDC RVC 330 ","25 47.979","-80 05.549"
"33010432","MDC RVC 343 ","25 46.561","-80 06.186"
"33010431","MDC RVC 290 ","25 52.811","-80 06.101"
"33010430","MDC RVC 289 ","25 53.070","-80 05.739"
"33010429","MDC RVC 287 ","25 53.249","-80 06.589"
"33010428","MDC RVC 286 ","25 53.376","-80 05.330"
"33010427","MDC RVC 285","25 53.353","-80 06.112"
"26040044","Salida del Ana Elena, Anegada de Afuera","19 09.800","-95 52.129"
"26040043","Entrada al Ana Elena, Anegada de Afuera","19 09.864","-95 52.199"
"51110016","Playa Arroyo Bermejo (Jibacoa)","23 08.991","-81 49.115"
"55030051","Jo Jo Split / Joe Joe's Cut","17 15.20","-87 50.13"
"54060015","Andy's Reef / Poca Rica (Xcalak)","18 20.123","-87 48.475"
"85020070","Play Shou Mosa",NULL,NULL
"85020071","Playa Manzalina","12 14.725","-69 06.336"
"86020057","Stingray Alley",NULL,NULL
"86020058","Cove / Cove Reef","11 07.226","-60 49.874"
"86020059","Maverick Ledge",NULL,NULL
"86020060","Sister 1",NULL,NULL
"86020061","Brothers",NULL,NULL
"86020062","ISME",NULL,NULL
"86020063","Alps",NULL,NULL
"86020064","Dutchman's Reef / French Wreck Reef","11 11.595","-60 48.106"
"86020065","Coral Slope",NULL,NULL
"86020066","Cove Slope (near Diver's Thirst)",NULL,NULL
"86020067","Wreck of the Maverick / MV Maverick","11 11.803","-60 48.367"
"55030052","Doc's Place (aka Germany's) Turneffe Reef","17 16.309","-87 48.679"
"55040039","Hat Caye Wall (Lighthouse Reef)","17 10.260","-87 37.837"
"55050034","Nekton Wall (aka Aggressor's Wall, NW Glovers Reef","16 52.690","-87 48.918"
"34040033","Fleming's Run",NULL,NULL
"33010341","Midway",NULL,NULL
"63010026","Susoni Hospital (Arecibos)",NULL,NULL
"42060025","0.5 mi. NW of Princess Cays","24 38.606","-76 10.838"
"71020025","Tintamarre Island","18 07.03","-62 59.33"
"42010078","DC 3",NULL,NULL
"71090021","Double Dip East",NULL,NULL
"71090022","Double Dip West",NULL,NULL
"73070031","The Veins",NULL,NULL
"73020024","Rosemon Trench",NULL,NULL
"44120054","Rusty's Spot (0.5 mi SW Gibb's Cay)",NULL,NULL
"44120055","Middle Reef (East Side)",NULL,NULL
"41020079","Carcharinus Cut (Dave Grenda 15 mi N of Sandy Cay)",NULL,NULL
"41020080","Shark Tooth Ridge (15 mi N of Sandy Cay Dave Grend",NULL,NULL
"41020078","Lighthouse Cove (15 mi N of Sandy Cay)",NULL,NULL
"41020077","End of the Map (5 mi N of Great Isaac, Dave Grenda",NULL,NULL
"54020083","Patzcuaro Laguna de Mandinga / Centro Wrecks",NULL,NULL
"55080008","Lark Key (Belize)","16 30.107","-88 16.107"
"55100003","Northeast Buoy (Sapodilla Cayes)",NULL,NULL
"55100004","Northeast Wall (Sapodilla Cayes)",NULL,NULL
"55100005","Tom Owens Wall (Sapodilla Cayes)",NULL,NULL
"55100006","Seal Caye Wall (Sapodilla Cayes)",NULL,NULL
"55100007","Lime Caye Wall (Sapodilla Cayes)",NULL,NULL
"55100008","Vigilance (Sapodillo Cayes)",NULL,NULL
"55100009","The Wreck (Sapodillo Cayes)",NULL,NULL
"55100010","The Stadium (Sapodillo Cayes)",NULL,NULL
"55100011","Lost (Sapodilla Cayes)",NULL,NULL
"55100012","Lime Point (Sapodillo Cayes)",NULL,NULL
"55100013","Grouper (Sapodillo Cayes)",NULL,NULL
"55100014","Honeymoon (Sapodillo Cayes)",NULL,NULL
"41060018","Whale Point Cay","25 23.495","-77 47.470"
"41060019","Cathedral Hole (Off Chub Cay)","25 24.130","-77 46.553"
"41060020","Shallow Sea Gardens (off Chub Cay)","25 24.284","-77 54.370"
"41020081","Princess Isle Beach","26 25.360","-78 42.527"
"41060021","Whale Cay Barge","25 23.500","-77 48.110"
"41060022","Texaco Point Reef (Berries)","25 24.031","-77 51.246"
"41060023","Angel Town","25 24.325","-77 54.211"
"41051000","Great Sale Cay Blue Hole (between G.Bahama, Walker","26 56.233","-78 13.103"
"42040200","Red's Reef (Lionfish cruise 0407, off N. Andros)",NULL,NULL
"41010084","LayLani (Gingerbreads)",NULL,
"41020082","Princess Isle Canal","26 29.449","-78 43.172"
"63020050","Islands in the Sand, Humacao","18 03.924","-65 45.371"
"41010085","Arches (Gingerbreads, Lionfish April 2007)",NULL,NULL
"54030100","Bahia Principe Resort Area Protectado (Playa Ventu",NULL,NULL
"54030101","Bahia Principe Elkhorn Patch (Directly across fro",NULL,NULL
"33010058","Pauls Reef (South end)","26 38.648","-80 01.262"
"41020083","Lucayan Park Mangroves","26 36.149","-78 22.239"
"41060024","Chub Cay Mangroves","25 24.307","-77 51.579"
"63060016","Mona Island (SW of Playa De Pajaros, Candilones)",NULL,NULL
"71060032","Majors Bay",NULL,NULL
"65010511","The Maze (Camanoe)","18 28.328","-64 32.135"
"34080124","Disney World","24 31.807","-81 28.033"
"34080123","Emitina","24 31.215","-81 30.666"
"34030175","PT's Ledge",NULL,NULL
"71040032","Big Rock / Big Rock Market","17 36.936","-63 13.891"
"71090023","Carpenter's Rock","16  57.82","-61 45.22"
"71090024","Cape Shirley","16 59.86","-61 44.75"
"71090025","Windward Reef (Windward Bay)","17 00.262","-61 46.504"
"71090026","Proctor's Point / Carib House Reef","17 00.37","-61 47."
"41020084","Blackbeards Beach","26 32.500","-78 33.500"
"41020085","Silver Point Canal","26 30.000","-78 39.500"
"23050067","Charlotte ’s concrete slabs","26 45.771","-82 27.541"
"23050068","Charlotte ’s limerock","26 45.836","-82 27.434"
"73030062","The Quarry","13 12.399","-61 16.407"
"21010246","Grierson Liberty Ship (Panama City Beach)","29 59.059","-85 42.381"
"57020162","Julian's Site","16 20.64","-86 27.42"
"34040161","Lots O' Fish / The Maze","24 53.367","-80 34.017"
"33020036","Biscayne NP S+RS#911","25 27.402","-80 07.646"
"33020037","Biscayne NP S+RS #902","25 21.031","-80 10.738"
"33020038","Biscayne NP S+RS #903","25 21.787","-80 09.549"
"33020039","Biscayne NP S+RS #904","25 23.946","-80 10.262"
"33020040","Biscayne NP S+RS #914","25 24.270","-80 08.003"
"33020041","Biscayne NP S+RS #913","25 22.111","-80 08.360"
"33020042","Biscayne NP S+RS #918","25 18.547","-80 09.549"
"33020043","Biscayne NP S+RS #905","25 26.214","-80 09.073"
"33020044","Biscayne NP S+RS #901","25 29.994","-80 10.143"
"41020086","Barbery Beach","26 33.","-78 33."
"34100095","Dry Tortugas North Reserve Station RS8233","24 42.404","-82 58.649"
"34100096","Dry Tortugas North Reserve Station OS7675","24 32.245","-82 57.064"
"85020072","Superior Producer Reef (above the wreck, above 70",NULL,NULL
"85020073","Sunset Divers House Reef","12 16.020","-69 07.640"
"85020074","Piscadera Bay (NW of entrance to the bay)","12 07.443","-68 58.325"
"85020075","Fuik Bay (NW section of inner bay)","12 03.398","-68 50.069"
"84050003","El Mercado (NE Cubagua)","10 50.355","-64 09.27"
"41010095","Triangle Rocks","25 38.895","-79 18.723"
"84050004","Punta Yirú (SW Cubagua)","10 48.413","-64 8.95"
"11010171","Arches, St Davids Island","32 19.392","-64 41.175"
"42130007","Little San Sal Beach (by Little San Sal Canal)","24 35.00","-75 58.00"
"42120033","Hawks Nest west area","24 08.490","-75 31.646"
"42120034","Hawks Nest Middle","24 08.405","-75 31.544"
"42120035","Bain town Wall","24 06.330","-75 25.791"
"42120036","Tartar Bank","24 02.167","-75 28.367"
"42090146","Lost Luggage Area","23 29.588","-75 42.755"
"41060025","Yellow Bar Area","25 25.865","-77 59.299"
"41020087","Running Mon Canal  area","26 29.538","-78 41.466"
"41010086","North Turtle Rocks","25 39.500","-79 18.550"
"41060026","Frazier’s Hog Channel (Berry Islands)","25 24.716","-77 50.802"
"34050052","S+RS 656","24 42.277","-81 56.277"
"34050053","S + RS 670","24 39.423","-81 02.188"
"34050054","S + RS 680","24 37.611","-81 07.542"
"34050055","S + RS 682","24 38.882","-81 03.176"
"34050056","S + RS 683","24 41.495","-81 56.872"
"34050057","S +RS 705","24 36.657","-81 10.206"
"34050058","S + RS 706","24 36.655","-81 10.068"
"34050059","S + RS 708","24 36.784","-81 08.658"
"34050060","S + RS 710","24 37.415","-81 07.341"
"34050061","S + RS 712","24 40.430","-81 57.706"
"34050062","S + RS 731","24 37.120","-81 07.500"
"34050063","S + RS 732","24 38.216","-81 03.815"
"34050064","S + RS 734","24 38.891","-81 02.461"
"34050065","S + RS 735","24 38.975","-81 01.366"
"34100200","Riley's Hump Nancy Foster Research Sites",NULL,NULL
"34100201","Rileys Hump Station 15 (Grouper Ledge)","24 29.634","-83 06.061"
"34100202","Rileys Hump ON5842","24 35.346","-82 59.638"
"34100203","Rileys Hump Station 5","24 29.627","-83 06.958"
"34100204","Rileys Hump Station 4","24 29.967","-83 07.096"
"34100205","Rileys Hump Station 12","24 29.439","-83 07.286"
"34100206","Rileys Hump Station 1","24 30.481","-83 07.427"
"34100207","Rileys Hump Station 3","24 29.577","-83 07.154"
"34100208","Rileys Hump Station 7","24 29.898","-83 06.318"
"34100209","Rileys Hump Station 8","24 29.830","-83 06.058"
"41020088","Xanadu Canal","26 29.3","-78 42.0"
"41020089","Xanadu Reef","26 27.80","-78 41.80"
"23010072","Egmont Key (Shake's Wreck)",NULL,NULL
"23010073","Egmont Key (Fort Dade)","27 34.858","-82 45.890"
"26040035","La estufa del diablo (Anegada de Afuera)","19 09.607","-95 51.009"
"44040026","Tres Marias",NULL,NULL
"42040201","Drews Paradise","25 06.151","-77 57.229"
"42040202","Fresh Creek Reef","24 44.693","-77 46.726"
"42040203","High Rock Reef","24 38.883","-77 41.385"
"42040204","Sirens Slope","24 29.330","-77 41.797"
"42040205","Big Wood Reef","24 20.996","-77 40.245"
"42040206","Congo Reef","24 11.488","-77 34.800"
"41020091","Bell Channel","26 31.3","-78 36."
"41020092","West End Canal","26 42.16","-78 59.40"
"42090147","Laddies Lair (S of Green Cay)","23 56.670","-77 06.767"
"42090148","Topaz (E of Pimlico Rock)","23 56.826","-76 56.954"
"42090149","Emerald Bay Marina","23 37.749","-75 55.050"
"42090150","Lost Luggage Reef","23 29.588","-75 42.755"
"42080012","Creek Wall (Conception Island)","23 49.289","-75 07.741"
"42080013","Mangrove Creek (Conception Island)","23 49.433","-75 07.295"
"42080014","Ledges by N Shore of Mangrove Creek","23 49.35","-75 07.55"
"42080015","Fish School (Anchorage)","23 50.800","-75 07.411"
"41060027","Chub Cay Site 1","25 23.542","-77 49.198"
"42010079","Bacardi Bar","25 56.543","-77 31.805"
"41010088","Miss Jenny Wreck","25 44.551","-79 18.179"
"41010087","Cessna Wreck (Bimini)","25 45.016","-79 07.580"
"42010084","Port Nelson Wreck","24 56.54","-77 31.80"
"42010085","Steel Forest","24 59.993","-77 32.215"
"42120037","Hawks Nest Channel and Mangroves","24 08.445","-75 31.565"
"42050050","Little San Sal Beach",NULL,NULL
"34080075","Bahia Honda State Park Beach (Big Pine Key)","24 39.36","-81 16.62"
"41010089","Honeymoon Harbor",NULL,NULL
"41010090","LF01 N of N Rock","25 48.278","-79 14.450"
"24040021","Rig GA393C",NULL,NULL
"34030095","Ken Nedimyer Elkhorn Nursery (Harry Harris Park)",NULL,NULL
"11010176","Harrington Sound Primary School Public Dock to Pat","32 19.391","-64 43.396"
"11010177","Harrington Sound Primary School Public Dock to Whi","32 19.362","-64 43.840"
"11010178","Daniel's Head to Methelin Bay, Somerset","32 17.935","-64 52.644"
"11010179","Devil's Flat","32 25.201","-64 51.342"
"11010180","Boaz Island - east coast","32 18.492","-64 51.069"
"11010181","Aquarium - Harrington Sound Side","32 19.451","-64 44.269"
"11010182","Foureye","32 25.687","-64 50.751"
"11010183","Sennet Reef","32 25.695","-64 51.980"
"11010184","Eagle Ray Bommies","32  25.514","-64 51.728"
"11010185","West Side Road Methelin Bay",NULL,NULL
"11010186","Willow Bank",NULL,NULL
"11010187","Stonewall Wreck Judie's Spot","32 21.754","-64 55.568"
"52020088","Mock Dock Mary's Bay East","19 42.689","-79 59.157"
"11014083","BREAM 4083 Bardock's Folly","32 26.849","-64 46.457"
"11014084","BREAM 4084 Hog Breaker","32 27.792","-64 49.806"
"11014085","BREAM 4085 Mari Bowing","32 27.569","-64 49.626"
"11014086","BREAM 4086 Salty Hole","32 25.506","-64 51.905"
"11014087","BREAM 4087 100 Grunt Reef","32 24.534","-64 53.129"
"11014088","BREAM 4088 Slimy Sucker Reef","32 18.3","-64 57.714"
"11014089","BREAM 4089 Scooby Snack Shoals","32 16.842","-64 53.814"
"11014090","BREAM 4090 Four Glasses Reef","32 16.326","-64 54.702"
"11014091","BREAM 4091 Cowground South","32 18.726","-64 52.109"
"11014092","BREAM 4092 Reel Sticky Reef","32 28.889","-64 45.372"
"11014093","BREAM 4093 Dark Slime Reef","32 28.169","-64 47.502"
"11014094","BREAM 4094 Goat Point","32 21.299","-64 39.942"
"11014095","BREAM 4095 Coralicious Reef","32 20.645","-64 40.284"
"11014096","BREAM 4096 Lemon Meringue Reef","32 27.977","-64 42.264"
"11014097","BREAM 4097 Oil Docks East","32 22.715","-64 41.718"
"11014098","BREAM 4098 Creepy Reef","32 26.718","-64 39.942"
"11014099","BREAM 4099 Lumpy Bumpy Reef","32 21.083","-64 56.802"
"11014100","BREAM 4100 Lartington 30","32 22.163","-64 55.146"
"11014101","BREAM 4101 Urchin City","32 14.682","-64 56.592"
"11014102","BREAM 4102 Trifling Sandhole Reef","32 16.620","-64 59.054"
"11014103","BREAM 4103 Ominous Reef","32 29.124","-64 42.714"
"11014104","BREAM 4104 Bad Bottom Reef",NULL,NULL
"11014","BREAM Sites Year 4",,
"41080006","Lobos Two Scoops","22 17.293","-77 26.933"
"41080007","Bahamas Cay Lobos Second Look","22 17.965","-77 28.634"
"41080008","Bahamas Cay Lobos Sponge Bob","22 18.322","-77 30.956"
"41010091","Shallow Hawksbill (Bimini)",NULL,NULL
"34080076","S + RS 840 - Key West","24 26.004","-81 56.568"
"34080077","S + RS 758","24 30.788","-81 55.772"
"34080078","S + RS 771","24 27.908","-81 54.690"
"34080079","S + RS 776","24 28.475","-81 54.125"
"34080080","S + RS 777","24 28.645","-81 57.410"
"34080081","S + RS 778","24 28.743","-81 53.773"
"34080082","S + RS 780","24 29.247","-81 51.125"
"34080083","S + RS 782","24 29.242","-81 50.663"
"34080084","S + RS 806","24 27.020","-81 57.430"
"34080085","S + RS 818","24 26.892","-81 55.067"
"34080086","S + RS 819","24 27.262","-81 55.491"
"34080087","S + RS 843","24 26.619","-81 52.380"
"34080088","S + RS 846","24 28.018","-81 43.747"
"34080089","S + RS 870","24 27.057","-81 53.393"
"34080090","S + RS 871","24 27.161","-81 53.615"
"34080091","S + RS F01","24 27.971","-81 47.579"
"34080092","S + RS F02","24 28.100","-81 46.711"
"34080093","S + RS F04","24 28.381","-81 44.061"
"34110009","Buttonwood Sound",NULL,NULL
"34110010","Key Largo Grand",NULL,NULL
"85010034","Renaissance Marina","12 31.031","-70 02.230"
"23050069","Pace’s Place culverts","26 31.212","-82 16.982"
"63020051","24U, La Parguera","17 53.839","-66 57.603"
"63050017","Los Canones","18 07.040","-65 35.108"
"63010027","Escambron Beach","18 27.937","-66 05.135"
"63050018","3 Rocks","18 06.470","-65 34.921"
"63020052","Trails End, Humacao","18 03.019","-65 44.772"
"85030155","Keepsake (Klein)",,
"54030103","Akumal (Dive Site Name for Bahia Principe Resorts)",NULL,NULL
"52010058","Lost City Of Atlantis",NULL,NULL
"52010059","Fisheries","19 41.222","-79 53.740"
"85010035","The Barge, Renaissance Island","12 30.074","-70 01.821"
"85010036","Mangrove Creek, Renaissance Island",NULL,NULL
"52010060","Public Beach",NULL,NULL
"65010901","What's the Point (Near Devil's Kitchen)","18 21.550","-64 31.166"
"52030066","Grandview Condos",NULL,NULL
"11014107","BREAM 4107 Kate 30","32 19.533","-64 41.160"
"11014106","BREAM 4106 Southlands 30","32 15.479","-64 47.477"
"11014105","BREAM 4105 Spittal Pond","32 18.553","-64 43.223"
"83120001","Club de Pesca marina (Cartagena)","10 24.93","-75 32.69"
"54010022","Atlantis Reef (adjacent site to Manchones 54010009","21 11.857","-86 43.566"
"34030096","Parrotfish Blues (patch reef)","25 04.000","-80 23.268"
"57020112","Channel between CCV and Fantasy Island","16 21.583","-86 26.115"
"34030097","Barge at Markers coming out of Garden Cove, Key La","25 10.635","-80 20.805"
"42060026","Turtle Bay Windemere Island","25 05.001","-76 07.070"
"42060027","Shark Reef","25 26.687","-76 07.048"
"42060028","Big Bluff, Windemere Island","25 05.084","-76 06.896"
"42060029","Little Bluff, Windemere Island","25 04.881","-76 06.905"
"42060030","Northern Most Point Windermere Island","25 06.290","-76 07.315"
"33010342","Michigan Street Beach Dive","26 01.094","-80 06.873"
"33020045","Long Reef","25 26.684","-80 07.046"
"33010343","The Pit Stop","26 30.715","-80 01.923"
"57020113","Fort Cay Wall (near Port Royal)","16 24.039","-86 16.958"
"33010344","Peanut Island Snorkel Reef","26 46.291","-80 02.688"
"33010345","Juno Nearshore Reef","26 53.886","-80 03.456"
"33010346","Hallandale Boulders",NULL,NULL
"73030063","Dales Dropoff","13 20.853","-61 12.857"
"73030064","Fizzy Reef","13 07.645","-61 12.099"
"73030065","Layou Wall","13 11.755","-61 16.399"
"34030098","Harrys Bait House",NULL,NULL
"41010092","Donut Hole, Ocean Cay","25 21.070","-79 12.051"
"42090151","Jacks Hole",NULL,NULL
"62020016","Pork Reef",NULL,NULL
"62020017","Cuevitas",NULL,NULL
"53020042","Golden Gate","18 22.012","-78 20.514
"
"42040207","Missing Buoy Reef",NULL,NULL
"54020084","El Cozumeleno Beach Resort","20 33.120","-86 55.542"
"52010061","Preachers Barge","19 41.502","-79 53.178"
"42110017","Sea Gardens",NULL,NULL
"42110018","Joe's Reef",NULL,NULL
"57030095","Cannery Banks","16 03.341","-87 01.941"
"23010074","Pier 2nd Avenue","27 46.414","-82 37.377"
"42060031","Savannah Sound","25 06.259","-76 07.332"
"42040208","Eagle Sands",NULL,NULL
"42040209","The Rose Garden",NULL,NULL
"42040210","Red Buoy","26 56.535","-77 54.361"
"73030066","New Guinea Reefnet (shallow seagrass off NGuinea R",NULL,NULL
"85010037","Cabez Seroe Colorado",NULL,NULL
"84100001","Monjes Island","12 21.42","-70 54.09"
"83120101","Rosario Islands","10 10.39","-75 45.12"
"63020053","Superbowl","17 52.677","-67 02.891"
"55040040","Shark Point (E of Lighthouse Wall)","17 12.647","-87 31.431"
"64010059","Buoy No 1 Christiansted Harbour",NULL,NULL
"63050019","Esperanza Pier","18 05.665","-65 28.376"
"63050020","Cayo Afueria","18 05.020","-65 28.028"
"63050021","Mosquito Bay","18 05.029","-65 26.020"
"63050022","Sun Bay (outside and closer to Media Luna Beach)","18 05.025","-65 27.022"
"63050023","Bahia de Chiva","18 06.023","-65 22.056"
"63050024","Isla de Chiva West side","18 06.023","-65 23.007"
"63050025","Ensenada Honda (Turtles)","18 07.006","-65 21.035"
"63050026","Bahia Salina","18 08.006","-65 18.005"
"42040211","Hamlets Hangout","24 52.830","-77 52.654"
"64020122","Hassell Island West side",,
"65010803","Haulover Reef (Cooper Island)","18 22.524","-64 30.676"
"81030005","Playa Punta Uva (Puerto Viejo Costa Rica)","09 38.490","-82 41.045"
"63030026","Coffin Reef (Rincon)","18 19.104","-67 15.040"
"63030027","Little Desecheo (Rincon)","18 20.700","-067 16.130"
"55040041","Long Cay Wall","17 13.057","-87 36.615"
"55040042","Dolphin Pass (Halfmoon Cay)","17 12.207","-87 32.524"
"44070010","Grassbeds (Kaylas Cut from Aggressor FS 2008)",NULL,NULL
"24070001","Texas Clipper (off South Padre Texas)","26 11.243","-96 51.411"
"73040029","Payne's Bay",NULL,NULL
"73040030","Wreck of the Berwyn",NULL,NULL
"55010055","San Pedro (Ambergis Caye, Bequia Yacht Club)","17 54.","-87 58."
"55030053","Geoff's Caye (Belize)","17 20. 832","-88 02.204"
"63020054","La Conga, Humacao","18 02.48","-65 44.32"
"71030007","Whale of Gros Ilets (Buoy 5)",,"-62 51.47"
"71030008","The Aquarium (Buoy 4)",,"-62 51.36"
"83120201","Titipan (Islas de San Bernardo)","09 42.265","-75 51.151"
"83120202","La Palma (Islas de San Bernardo)","09 44.034","-75 44.626"
"83120401","Isla Fuerte East Side","09 23.232","-76 10.029"
"83110001","Sapzurro","08 40.031","-77 21.022"
"82050133","Isla Pinos San Blas","08 59.340","-77 45.094"
"82050134","Snug Harbor San Blas Reef#1","09 19.282","-78 15.001"
"82050135","Snug Harbor San Blas Reef#2","09 19.248","-78 15.034"
"82050136","Esnadup San Blas Front reef","09 29.014","-78 40.129"
"82050137","Esnadup San Blas Outer reef","09 29.030","-78 40.464"
"82050138","Esnadup San Blas East outer reef","09 28.977","-78 40.218"
"82050139","Coco Bandero San Blas (E. outside reef)","09 31.179","-78 36.469"
"82050140","Coco Bandero West Reef","09 30.419","-78 37.088"
"82050141","Coco Bandero South Reef","09 30.377","-78 36.598"
"82050142","Coco Alto Cay San Blas (E. reef)","09 28.244","-78 39.116"
"82050143","Coco Alto Cay San Blas (Wall)","09 28.350","-78 39.238"
"82050144","Green Island (Sabudupored)","09 28.210","-78 37.309"
"82050145","Canbombia (Nabadup)","09 28.371","-78 42.555"
"82050146","Canbombis ( Nabadup Wall)","09 28.541","-78 43.127"
"82050147","Hollandaise (Caobas Cay) Kalugirup","09 35.183","-78 40.586"
"82050148","Hollandaise (Caobas Cay) Kalugirup Wall","09 34.591","-78 41.373"
"82050149","Chichime","09 35.147","-78 52.535"
"54030105","North Paradise Reef (Bahia Divers)",NULL,NULL
"54030106","South Paradise Reef  (Bahia Divers)",NULL,NULL
"54030104","Paradise Isles (Bahia Divers)",NULL,NULL
"54030107","Casa Cenote Manatee River Mangroves (Akumal, Bahia",NULL,NULL
"34100210","Site Stn 0091","24 38.371","-82 51.133"
"34100211","Stn 0141","24 39.588","-82 48.070"
"34100212","Stn 0191","24 37.944","-82 49.447"
"34100213","Stn 0251","24 36.538","-82 52.291"
"41020093","Snapper Reef","26 32.151","-78 32.415"
"42010086","Wyndham Cable Beach Breakwater",NULL,NULL
"42010087","Clifton Shore Dive",NULL,NULL
"42010088","Caves Beach Patch Reef",NULL,NULL
"34100214","NOAA Stn 0301","24 35.962","-82 52.407"
"34100215","NOAA Stn 0351","24 35.414","-82 53.605"
"34100216","NOAA Site 0391","24 35.834","-82 54.277"
"34100217","NOAA Stn 0441","24 36.362","-82 53.867"
"34100218","NOAA Stn 0491","24 39.509","-82 56.619"
"34100220","NOAA Stn 0591","24 41.612","-82 54.760"
"34100219","NOAA Stn 0541","24 40.142","-82 55.557"
"34100221","NOAA Stn 0691","24 43.355","-82 51.364"
